Name,Slug,City,State,Rating,Reviews,Website,Email,Phone,Badge URL,Listing URL,Status
"Padel Haus Nashville",padel-haus-nashville,"Nashville",TN,5.0,10,https://www.padel.haus/,,(615) 813-2300,https://padelfinder.com/badge/padel-haus-nashville,https://padelfinder.com/courts/padel-haus-nashville,verified
"Padel Pals Club - East Valley Mesa/Gilbert",padel-pals-club-east-valley-mesa-gilbert,"Mesa",AZ,5.0,10,http://www.padel-pals.com/,,(480) 318-3219,https://padelfinder.com/badge/padel-pals-club-east-valley-mesa-gilbert,https://padelfinder.com/courts/padel-pals-club-east-valley-mesa-gilbert,verified
"Casa de Padel HTX",casa-de-padel-htx,"Houston",TX,5.0,3,https://www.casadepadelhtx.com/,,(713) 568-6838,https://padelfinder.com/badge/casa-de-padel-htx,https://padelfinder.com/courts/casa-de-padel-htx,verified
"VIVA Padel & Pickleball",viva-padel-pickleball,"Philadelphia",PA,5.0,10,https://vivapadelpickleball.com/,,,https://padelfinder.com/badge/viva-padel-pickleball,https://padelfinder.com/courts/viva-padel-pickleball,verified
"Padel Plant",padel-plant,"Richmond",VA,5.0,10,https://www.padelplant.com/,,(804) 715-5760,https://padelfinder.com/badge/padel-plant,https://padelfinder.com/courts/padel-plant,verified
"The ONE Padel Club",the-one-padel-club,"Eagle Pass",TX,5.0,2,http://www.theonepadelclub.com/,,(830) 971-4125,https://padelfinder.com/badge/the-one-padel-club,https://padelfinder.com/courts/the-one-padel-club,verified
"Alma Padel",alma-padel,"Glenview",IL,5.0,10,https://almapadel.com/,,(847) 404-9492,https://padelfinder.com/badge/alma-padel,https://padelfinder.com/courts/alma-padel,verified
"Palm Beach Padel",palm-beach-padel,"West Palm Beach",FL,5.0,10,https://www.palmbeachpadel.com/,,(561) 410-3724,https://padelfinder.com/badge/palm-beach-padel,https://padelfinder.com/courts/palm-beach-padel,verified
"Padel Quattro",padel-quattro,"Brownsville",TX,5.0,25,http://padelquattro.club/,,(956) 759-0875,https://padelfinder.com/badge/padel-quattro,https://padelfinder.com/courts/padel-quattro,verified
"SLC Padel Club",slc-padel-club,"Woods Cross",UT,5.0,10,https://www.slcpadelclub.com/,,(321) 429-7473,https://padelfinder.com/badge/slc-padel-club,https://padelfinder.com/courts/slc-padel-club,verified
"Padel39 Austin",padel39-austin,"Austin",TX,5.0,10,https://www.padel39.com/,,(512) 220-6296,https://padelfinder.com/badge/padel39-austin,https://padelfinder.com/courts/padel39-austin,verified
"Racket Social Club",racket-social-club,"Englewood",CO,5.0,10,https://www.racketsocialclub.us/denver,,(720) 441-3410,https://padelfinder.com/badge/racket-social-club,https://padelfinder.com/courts/racket-social-club,verified
"Bay Padel - Dogpatch",bay-padel-dogpatch,"San Francisco",CA,5.0,10,https://baypadel.us/,,(341) 222-1748,https://padelfinder.com/badge/bay-padel-dogpatch,https://padelfinder.com/courts/bay-padel-dogpatch,verified
"Padel Alley",padel-alley,"Tucson",AZ,5.0,10,https://www.padelalley.com/,,(520) 314-9100,https://padelfinder.com/badge/padel-alley,https://padelfinder.com/courts/padel-alley,verified
"PADELHUB Boston",padelhub-boston,"Boston",MA,5.0,20,https://padelhubusa.com/,,(857) 413-6949,https://padelfinder.com/badge/padelhub-boston,https://padelfinder.com/courts/padelhub-boston,verified
"Charlotte Padel Club",charlotte-padel-club,"Matthews",NC,5.0,10,http://www.charlottepadelclub.com/,,(704) 771-1559,https://padelfinder.com/badge/charlotte-padel-club,https://padelfinder.com/courts/charlotte-padel-club,verified
"Padel 956",padel-956,"McAllen",TX,5.0,4,https://www.padel956.com/,,(956) 587-8428,https://padelfinder.com/badge/padel-956,https://padelfinder.com/courts/padel-956,verified
"Rad Padel | Powered by Padel California",rad-padel-powered-by-padel-california,"Murrieta",CA,5.0,10,https://radpadelsocal.com/,,(323) 440-7863,https://padelfinder.com/badge/rad-padel-powered-by-padel-california,https://padelfinder.com/courts/rad-padel-powered-by-padel-california,verified
"And Padel",and-padel,"Oakland",NJ,5.0,10,https://www.krakenpadelclub.com/,,(469) 232-7021,https://padelfinder.com/badge/and-padel,https://padelfinder.com/courts/and-padel,verified
"ACCESS PADEL",access-padel,"Hillsborough Township",NJ,5.0,10,http://book.accesspadelclub.com/,,(732) 498-5107,https://padelfinder.com/badge/access-padel,https://padelfinder.com/courts/access-padel,verified
"BMorePadel",bmorepadel,"Pikesville",MD,5.0,6,https://bmorepadel.com/,,(443) 286-6703,https://padelfinder.com/badge/bmorepadel,https://padelfinder.com/courts/bmorepadel,verified
"Union Padel Club",union-padel-club,"Chicago",IL,5.0,10,https://www.unionpadelclub.com/,,(312) 579-4059,https://padelfinder.com/badge/union-padel-club,https://padelfinder.com/courts/union-padel-club,verified
"Serve & Smash Pickleball & Padel Club",serve-smash-pickleball-padel-club,"Branford",CT,5.0,10,http://www.serveandsmashpickleball.com/,,(475) 338-3700,https://padelfinder.com/badge/serve-smash-pickleball-padel-club,https://padelfinder.com/courts/serve-smash-pickleball-padel-club,verified
"P1 Padel Las Vegas",p1-padel-las-vegas,"Las Vegas",NV,5.0,10,https://p1padel.com/,,(702) 575-1700,https://padelfinder.com/badge/p1-padel-las-vegas,https://padelfinder.com/courts/p1-padel-las-vegas,verified
"Padel Country Club Memorial",padel-country-club-memorial,"Houston",TX,5.0,3,https://www.padelcountryclub.net/,,(832) 920-2711,https://padelfinder.com/badge/padel-country-club-memorial,https://padelfinder.com/courts/padel-country-club-memorial,verified
"Padel AZ",padel-az,"Tucson",AZ,5.0,2,http://padelaz.com/,,(520) 235-7094,https://padelfinder.com/badge/padel-az,https://padelfinder.com/courts/padel-az,verified
"Reserve Padel Miami Seaplane",reserve-padel-miami-seaplane,"Miami",FL,5.0,8,http://book.reservepadel.com/,,(786) 224-9962,https://padelfinder.com/badge/reserve-padel-miami-seaplane,https://padelfinder.com/courts/reserve-padel-miami-seaplane,verified
"SMART PADEL HOUSE",smart-padel-house,"Doral",FL,5.0,20,https://playtomic.io/tenant/8e3ec27a-bbe8-447e-9e3c-5581ac78b938?q=PADEL~2022-09-01~~~,,(561) 519-7832,https://padelfinder.com/badge/smart-padel-house,https://padelfinder.com/courts/smart-padel-house,verified
"Padel Boston Dedham",padel-boston-dedham,"Dedham",MA,5.0,10,https://playpadelboston.com/,,(781) 471-7019,https://padelfinder.com/badge/padel-boston-dedham,https://padelfinder.com/courts/padel-boston-dedham,verified
"Padel X Boca Raton",padel-x-boca-raton,"Boca Raton",FL,5.0,10,http://www.padelx.us/,,(305) 922-9242,https://padelfinder.com/badge/padel-x-boca-raton,https://padelfinder.com/courts/padel-x-boca-raton,verified
"iPadel Houston",ipadel-houston,"Houston",TX,5.0,10,http://www.ipadelhouston.com/,,(713) 485-0179,https://padelfinder.com/badge/ipadel-houston,https://padelfinder.com/courts/ipadel-houston,verified
"Cube Padel Houston",cube-padel-houston,"Houston",TX,5.0,10,https://playtomic.io/tenant/f912b46f-5b86-495f-a5dd-5de183be66a8?utm_source=app_ios&utm_medium=share,,(346) 201-6570,https://padelfinder.com/badge/cube-padel-houston,https://padelfinder.com/courts/cube-padel-houston,verified
"Padel Clube",padel-clube,"Mundelein",IL,5.0,13,https://www.padelclub.us/,,(561) 344-7272,https://padelfinder.com/badge/padel-clube,https://padelfinder.com/courts/padel-clube,verified
"Dallas Padel Club by Padel39",dallas-padel-club-by-padel39,"Carrollton",TX,5.0,13,https://www.dallaspadelclub.com/,,(469) 568-3060,https://padelfinder.com/badge/dallas-padel-club-by-padel39,https://padelfinder.com/courts/dallas-padel-club-by-padel39,verified
"Padel Club El Paso",padel-club-el-paso,"Sunland Park",NM,5.0,10,https://padelclubep.com/,,(915) 730-0880,https://padelfinder.com/badge/padel-club-el-paso,https://padelfinder.com/courts/padel-club-el-paso,verified
"Legio GP World",legio-gp-world,"Boca Raton",FL,5.0,10,https://legiogpworld.com/,,(561) 884-0456,https://padelfinder.com/badge/legio-gp-world,https://padelfinder.com/courts/legio-gp-world,verified
"Open Play Pickleball and Padel Club (under construction)",open-play-pickleball-and-padel-club-under-construction,"Hopkinton",MA,5.0,1,https://www.openplayppc.com/,,,https://padelfinder.com/badge/open-play-pickleball-and-padel-club-under-construction,https://padelfinder.com/courts/open-play-pickleball-and-padel-club-under-construction,verified
"Conquer Padel Club",conquer-padel-club,"Tempe",AZ,5.0,10,https://conquerpadel.com/,,(480) 864-7500,https://padelfinder.com/badge/conquer-padel-club,https://padelfinder.com/courts/conquer-padel-club,verified
"Let's Go Pickleball & Padel",let-s-go-pickleball-padel,"Peachtree City",GA,5.0,13,https://letsgopickleball.com/,,(470) 241-4241,https://padelfinder.com/badge/let-s-go-pickleball-padel,https://padelfinder.com/courts/let-s-go-pickleball-padel,verified
"Cube Padel Chicago",cube-padel-chicago,"Chicago",IL,5.0,11,http://cubepadel.com/,,(618) 836-4767,https://padelfinder.com/badge/cube-padel-chicago,https://padelfinder.com/courts/cube-padel-chicago,verified
"Club Pickle & Padel",club-pickle-padel,"Highland Park",IL,5.0,4,https://www.clubpicklepadel.com/,,(847) 579-4200,https://padelfinder.com/badge/club-pickle-padel,https://padelfinder.com/courts/club-pickle-padel,verified
"Mesa Padel Club",mesa-padel-club,"Mesa",AZ,5.0,8,https://mesapadelclub.com/,,,https://padelfinder.com/badge/mesa-padel-club,https://padelfinder.com/courts/mesa-padel-club,verified
"Zmash Padel",zmash-padel,"Sterling Heights",MI,5.0,20,https://www.zmashpadel.com/,,(947) 231-6515,https://padelfinder.com/badge/zmash-padel,https://padelfinder.com/courts/zmash-padel,verified
"Woodlands W-Padel & Pickleball (Woodcourt)",woodlands-w-padel-pickleball-woodcourt,"Magnolia",TX,4.9,20,https://wpadel.us/,,(346) 625-5886,https://padelfinder.com/badge/woodlands-w-padel-pickleball-woodcourt,https://padelfinder.com/courts/woodlands-w-padel-pickleball-woodcourt,verified
"PADEL CLUB AUSTIN (PCATX)",padel-club-austin-pcatx,"Austin",TX,4.9,10,https://www.padelclubaustin.com/,,(737) 376-0605,https://padelfinder.com/badge/padel-club-austin-pcatx,https://padelfinder.com/courts/padel-club-austin-pcatx,verified
"St. Pete Athletic Paddle & Social",st-pete-athletic-paddle-social,"St. Petersburg",FL,4.9,10,https://www.stpeteathletic.com,,,https://padelfinder.com/badge/st-pete-athletic-paddle-social,https://padelfinder.com/courts/st-pete-athletic-paddle-social,unverified
"Racket Social Club Alpharetta",racket-social-club-alpharetta,"Alpharetta",GA,4.9,10,https://racketsocialclub.us/alpharetta,,(770) 294-5613,https://padelfinder.com/badge/racket-social-club-alpharetta,https://padelfinder.com/courts/racket-social-club-alpharetta,verified
"Champions Padel Club",champions-padel-club,"Doral",FL,4.8,10,https://www.championspadelclub.com/,,(786) 909-8599,https://padelfinder.com/badge/champions-padel-club,https://padelfinder.com/courts/champions-padel-club,verified
"The Padel Courts Los Angeles",the-padel-courts-los-angeles,"Los Angeles",CA,4.8,10,https://thepadelcourts.com/,,(510) 770-6138,https://padelfinder.com/badge/the-padel-courts-los-angeles,https://padelfinder.com/courts/the-padel-courts-los-angeles,verified
"La Casa del Padel",la-casa-del-padel,"Overland Park",KS,4.8,10,https://lacasa-delpadel.com/,,(913) 214-6809,https://padelfinder.com/badge/la-casa-del-padel,https://padelfinder.com/courts/la-casa-del-padel,verified
"Bay Padel - Sunnyvale",bay-padel-sunnyvale,"Sunnyvale",CA,4.8,10,https://baypadel.us/,,(341) 222-1748,https://padelfinder.com/badge/bay-padel-sunnyvale,https://padelfinder.com/courts/bay-padel-sunnyvale,verified
"Kingdom of Padel",kingdom-of-padel,"San Diego",CA,4.8,10,https://kingdomofpadel.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,(619) 663-2869,https://padelfinder.com/badge/kingdom-of-padel,https://padelfinder.com/courts/kingdom-of-padel,verified
"Padel World Play",padel-world-play,"Kissimmee",FL,4.8,20,http://www.padelworldplay.com/,,(321) 900-2568,https://padelfinder.com/badge/padel-world-play,https://padelfinder.com/courts/padel-world-play,verified
"RGV Padel Club",rgv-padel-club,"McAllen",TX,4.7,30,https://playtomic.io/rgv-padel-club/3f6f0219-d93b-4c4f-9cee-0c09d67134a2,,(956) 680-9602,https://padelfinder.com/badge/rgv-padel-club,https://padelfinder.com/courts/rgv-padel-club,verified
"Pura Padel",pura-padel,"Sherman Oaks",CA,4.7,13,https://purapadel.com/,,(786) 809-7175,https://padelfinder.com/badge/pura-padel,https://padelfinder.com/courts/pura-padel,verified
"SODO Padel",sodo-padel,"Orlando",FL,4.7,3,https://www.sodopadel.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17979483197797938255,,(407) 867-8182,https://padelfinder.com/badge/sodo-padel,https://padelfinder.com/courts/sodo-padel,verified
"Padel& Greenpoint",padel-greenpoint,"Brooklyn",NY,4.7,10,https://www.padeland.us/,,(718) 309-7357,https://padelfinder.com/badge/padel-greenpoint,https://padelfinder.com/courts/padel-greenpoint,verified
"Wynwood Padel Club",wynwood-padel-club,"Miami",FL,4.7,12,http://www.platinumpadelclub.com/,,(305) 848-2489,https://padelfinder.com/badge/wynwood-padel-club,https://padelfinder.com/courts/wynwood-padel-club,verified
"U-Padel Woodlands",u-padel-woodlands,"Magnolia",TX,4.6,10,https://upadel.us/,,(346) 525-4010,https://padelfinder.com/badge/u-padel-woodlands,https://padelfinder.com/courts/u-padel-woodlands,verified
"Viva Flourtown Padel & Pickleball",viva-flourtown-padel-pickleball,"Flourtown",PA,4.6,20,https://www.vivapadelpickleball.com/location-flourtown,,(215) 836-5585,https://padelfinder.com/badge/viva-flourtown-padel-pickleball,https://padelfinder.com/courts/viva-flourtown-padel-pickleball,verified
"Woodlands Padel",woodlands-padel,"Spring",TX,4.6,10,http://matchi.com/,,(346) 370-2800,https://padelfinder.com/badge/woodlands-padel,https://padelfinder.com/courts/woodlands-padel,verified
"10by20 Padel Fort Lauderdale",10by20-padel-fort-lauderdale,"Fort Lauderdale",FL,4.6,10,https://www.10by20.com/,,(305) 540-5719,https://padelfinder.com/badge/10by20-padel-fort-lauderdale,https://padelfinder.com/courts/10by20-padel-fort-lauderdale,verified
"Proximo Padel",proximo-padel,"Chicago",IL,4.6,19,https://proximopadel.com/,,(312) 858-9021,https://padelfinder.com/badge/proximo-padel,https://padelfinder.com/courts/proximo-padel,verified
"Open Padel Club by Lasaigues",open-padel-club-by-lasaigues,"Miramar",FL,4.6,10,https://openpadel.club/,,(754) 284-5578,https://padelfinder.com/badge/open-padel-club-by-lasaigues,https://padelfinder.com/courts/open-padel-club-by-lasaigues,verified
"Bay Padel - Treasure Island",bay-padel-treasure-island,"San Francisco",CA,4.6,10,https://baypadel.us/,,(341) 222-1748,https://padelfinder.com/badge/bay-padel-treasure-island,https://padelfinder.com/courts/bay-padel-treasure-island,verified
"Orlando Padel Club",orlando-padel-club,"Orlando",FL,4.6,5,https://padelorlando.com/,,(407) 990-5854,https://padelfinder.com/badge/orlando-padel-club,https://padelfinder.com/courts/orlando-padel-club,verified
"Padel Up",padel-up,"Sterling",VA,4.6,10,https://padelupusa.com/,,(703) 563-0311,https://padelfinder.com/badge/padel-up,https://padelfinder.com/courts/padel-up,verified
"Barnes Tennis Center Padel",barnes-tennis-center-padel,"San Diego",CA,4.6,10,http://www.barnestenniscenter.com/,,(619) 221-9000,https://padelfinder.com/badge/barnes-tennis-center-padel,https://padelfinder.com/courts/barnes-tennis-center-padel,unverified
"Padel United Sports Club",padel-united-sports-club,"Cresskill",NJ,4.6,10,https://www.padelunitedsportsclub.com/,,(201) 328-0006,https://padelfinder.com/badge/padel-united-sports-club,https://padelfinder.com/courts/padel-united-sports-club,verified
"Padel California",padel-california,"Oceanside",CA,4.6,19,http://www.padelcalifornia.us/,,(760) 825-8365,https://padelfinder.com/badge/padel-california,https://padelfinder.com/courts/padel-california,verified
"Park Padel",park-padel,"San Francisco",CA,4.6,10,https://parkpadel.com/,,(415) 418-2569,https://padelfinder.com/badge/park-padel,https://padelfinder.com/courts/park-padel,verified
"West43 Padel",west43-padel,"Houston",TX,4.6,15,https://book.west43padel.com/,,(334) 444-7239,https://padelfinder.com/badge/west43-padel,https://padelfinder.com/courts/west43-padel,verified
"Matt's Pickle and Padel",matt-s-pickle-and-padel,"Sewickley",PA,4.5,10,http://mattspickleandpadel.com/,,(412) 534-4979,https://padelfinder.com/badge/matt-s-pickle-and-padel,https://padelfinder.com/courts/matt-s-pickle-and-padel,verified
"U-Padel Club",u-padel-club,"San Antonio",TX,4.5,8,http://upadel.us/,,(361) 752-8876,https://padelfinder.com/badge/u-padel-club,https://padelfinder.com/courts/u-padel-club,verified
"Pick and Padel San Antonio",pick-and-padel-san-antonio,"Bulverde",TX,4.5,10,http://pickandpadel.us/,,(830) 354-8362,https://padelfinder.com/badge/pick-and-padel-san-antonio,https://padelfinder.com/courts/pick-and-padel-san-antonio,verified
"PADELphia",padelphia,"Bala Cynwyd",PA,4.5,20,http://www.padelphia.com/,,,https://padelfinder.com/badge/padelphia,https://padelfinder.com/courts/padelphia,verified
"LA Galaxy Park Padel",la-galaxy-park-padel,"Carson",CA,4.5,18,https://lagalaxypark.com/,,(310) 630-2147,https://padelfinder.com/badge/la-galaxy-park-padel,https://padelfinder.com/courts/la-galaxy-park-padel,unverified
"Padel Plus Indoor Racquet Club",padel-plus-indoor-racquet-club,"Orlando",FL,4.5,10,https://padelplusorlando.taykus.com/,,(407) 636-1547,https://padelfinder.com/badge/padel-plus-indoor-racquet-club,https://padelfinder.com/courts/padel-plus-indoor-racquet-club,verified
"Centercourt Padel Morristown",centercourt-padel-morristown,"Morristown",NJ,4.4,10,https://centercourtacademy.com/locations/morristown/,,(862) 435-3031,https://padelfinder.com/badge/centercourt-padel-morristown,https://padelfinder.com/courts/centercourt-padel-morristown,verified
"Reserve Padel SoLe Mia",reserve-padel-sole-mia,"North Miami",FL,4.3,29,http://www.reservepadel.com/,,(786) 562-6189,https://padelfinder.com/badge/reserve-padel-sole-mia,https://padelfinder.com/courts/reserve-padel-sole-mia,verified
"Padel MKE",padel-mke,"Milwaukee",WI,4.3,10,https://padelmke.com/,,(414) 204-0078,https://padelfinder.com/badge/padel-mke,https://padelfinder.com/courts/padel-mke,verified
"Padel X Miami",padel-x-miami,"Miami",FL,4.2,10,https://padelx.us/,,(305) 515-0956,https://padelfinder.com/badge/padel-x-miami,https://padelfinder.com/courts/padel-x-miami,verified
"PADEL LIFE & SOCCER",padel-life-soccer,"Hallandale Beach",FL,4.1,10,http://www.padellifemiami.com/,,(754) 210-3913,https://padelfinder.com/badge/padel-life-soccer,https://padelfinder.com/courts/padel-life-soccer,verified
"Padel Haus Greenpoint",padel-haus-greenpoint,"Brooklyn",NY,4.1,8,https://www.padel.haus/,,(917) 970-0036,https://padelfinder.com/badge/padel-haus-greenpoint,https://padelfinder.com/courts/padel-haus-greenpoint,verified
"Sensa Padel Nashville",sensa-padel-nashville,"Nashville",TN,4.1,10,https://sensapadel.com/,,(615) 496-9390,https://padelfinder.com/badge/sensa-padel-nashville,https://padelfinder.com/courts/sensa-padel-nashville,verified
"Padel Up - Culver City",padel-up-culver-city,"Los Angeles",CA,4.1,10,https://www.padelup.club/,,(800) 519-0304,https://padelfinder.com/badge/padel-up-culver-city,https://padelfinder.com/courts/padel-up-culver-city,verified
"Padel Haus Williamsburg",padel-haus-williamsburg,"Brooklyn",NY,4.1,10,http://padel.haus/,,(917) 970-0036,https://padelfinder.com/badge/padel-haus-williamsburg,https://padelfinder.com/courts/padel-haus-williamsburg,unverified
"The King of Padel",the-king-of-padel,"San Antonio",TX,4.0,10,http://www.thekingofpadel.com/,,(210) 310-3228,https://padelfinder.com/badge/the-king-of-padel,https://padelfinder.com/courts/the-king-of-padel,verified
"Camelback Padel Club",camelback-padel-club,"Phoenix",AZ,4.0,4,https://www.camelbackpadelclub.com/,,(480) 606-2300,https://padelfinder.com/badge/camelback-padel-club,https://padelfinder.com/courts/camelback-padel-club,verified
"Ballers Boston Seaport",ballers-boston-seaport,"Boston",MA,3.9,10,https://www.ballers-us.com/,,(267) 896-1604,https://padelfinder.com/badge/ballers-boston-seaport,https://padelfinder.com/courts/ballers-boston-seaport,unverified
"Padel Country Club Katy",padel-country-club-katy,"Katy",TX,3.9,20,https://www.padelcountryclub.net/,,(832) 920-2814,https://padelfinder.com/badge/padel-country-club-katy,https://padelfinder.com/courts/padel-country-club-katy,verified
"Padel + Pickle",padel-pickle,"Olivette",MO,3.6,10,https://www.padelandpickleclub.com/,,(314) 887-4283,https://padelfinder.com/badge/padel-pickle,https://padelfinder.com/courts/padel-pickle,verified
"Olympus Padel",olympus-padel,"Colorado Springs",CO,3.5,2,https://www.olympuspadel.club/,,(719) 644-6842,https://padelfinder.com/badge/olympus-padel,https://padelfinder.com/courts/olympus-padel,verified
"Padel Up - Century City",padel-up-century-city,"Los Angeles",CA,3.4,10,https://www.padelup.club/,,(213) 341-0809,https://padelfinder.com/badge/padel-up-century-city,https://padelfinder.com/courts/padel-up-century-city,verified
"Reserve Padel NYC",reserve-padel-nyc,"New York",NY,3.3,20,https://reservepadel.com/,,(917) 599-1545,https://padelfinder.com/badge/reserve-padel-nyc,https://padelfinder.com/courts/reserve-padel-nyc,verified
"Houston Padel Indoor",houston-padel-indoor,"Houston",TX,3.0,2,https://houstonpadelindoor.com/,,,https://padelfinder.com/badge/houston-padel-indoor,https://padelfinder.com/courts/houston-padel-indoor,verified
"Padel Den",padel-den,"Orem",UT,0.0,0,https://padeldenusa.com/,,(832) 349-6723,https://padelfinder.com/badge/padel-den,https://padelfinder.com/courts/padel-den,verified
"Brisas NYC at CityView Racquet Club",brisas-nyc-at-cityview-racquet-club,"Long Island City",NY,0.0,0,https://brisas.us/pages/brisas-at-cityview-nyc,,(929) 500-5951,https://padelfinder.com/badge/brisas-nyc-at-cityview-racquet-club,https://padelfinder.com/courts/brisas-nyc-at-cityview-racquet-club,verified
"Padel N9NE",padel-n9ne,"San Diego",CA,0.0,0,https://www.padeln9ne.com,,(619) 221-9000,https://padelfinder.com/badge/padel-n9ne,https://padelfinder.com/courts/padel-n9ne,verified
"Reserve Padel UES",reserve-padel-ues,"New York",NY,0.0,0,https://reservepadeluppereastside.playbycourt.com/,,,https://padelfinder.com/badge/reserve-padel-ues,https://padelfinder.com/courts/reserve-padel-ues,verified
"BullDog - Padel Unleashed",bulldog-padel-unleashed,"Orlando",FL,0.0,0,https://www.bulldogpadel.com/,,(407) 212-7578,https://padelfinder.com/badge/bulldog-padel-unleashed,https://padelfinder.com/courts/bulldog-padel-unleashed,verified
"Padel Haus Denver",padel-haus-denver,"Denver",CO,0.0,0,https://www.padel.haus/denver,,,https://padelfinder.com/badge/padel-haus-denver,https://padelfinder.com/courts/padel-haus-denver,verified
"Club Padel Newtown",club-padel-newtown,"Cincinnati",OH,0.0,0,https://www.cincyrackets.com/,,(513) 600-2074,https://padelfinder.com/badge/club-padel-newtown,https://padelfinder.com/courts/club-padel-newtown,verified
"M PADEL BOSTON",m-padel-boston,"Malden",MA,0.0,0,https://www.mouratoglou.com/en/international/padel-in-boston/,,,https://padelfinder.com/badge/m-padel-boston,https://padelfinder.com/courts/m-padel-boston,verified
"Epic Padel Inc",epic-padel-inc,"Charlotte",NC,0.0,0,https://epic-padel.com/,,(704) 947-7770,https://padelfinder.com/badge/epic-padel-inc,https://padelfinder.com/courts/epic-padel-inc,verified
"Slice Padel",slice-padel,"San Antonio",TX,0.0,0,https://slicepadelco.com/,,(210) 499-0700,https://padelfinder.com/badge/slice-padel,https://padelfinder.com/courts/slice-padel,verified
"Los Angeles Padel Club",los-angeles-padel-club,"Los Angeles",CA,0.0,0,https://thelapc.com/,,(310) 304-6679,https://padelfinder.com/badge/los-angeles-padel-club,https://padelfinder.com/courts/los-angeles-padel-club,verified
"Legacy Padel & Pickleball",legacy-padel-pickleball,"Austin",TX,0.0,0,https://www.legacypadel.us/,,(512) 884-7137,https://padelfinder.com/badge/legacy-padel-pickleball,https://padelfinder.com/courts/legacy-padel-pickleball,verified
"Conquer Padel Jax Beach",conquer-padel-jax-beach,"Jacksonville Beach",FL,0.0,0,https://conquerpadel.com/,,(912) 601-2228,https://padelfinder.com/badge/conquer-padel-jax-beach,https://padelfinder.com/courts/conquer-padel-jax-beach,verified
"Padeland",padeland,"Chandler",AZ,0.0,0,https://www.padeland.us/,,,https://padelfinder.com/badge/padeland,https://padelfinder.com/courts/padeland,verified
"Golden Point Padel Club",golden-point-padel-club,"Brooklyn",NY,0.0,0,https://book.goldenpointnyc.com/,,,https://padelfinder.com/badge/golden-point-padel-club,https://padelfinder.com/courts/golden-point-padel-club,verified
"Kinetic Indoor Racquet Club",kinetic-indoor-racquet-club,"Boynton Beach",FL,0.0,0,https://kineticracquet.com,,(561) 375-0911,https://padelfinder.com/badge/kinetic-indoor-racquet-club,https://padelfinder.com/courts/kinetic-indoor-racquet-club,unverified
"Casas Padel Club Aventura",casas-padel-club-aventura,"Aventura",FL,0.0,0,https://www.casaspadelclub.com,,(786) 342-9138,https://padelfinder.com/badge/casas-padel-club-aventura,https://padelfinder.com/courts/casas-padel-club-aventura,unverified
"The Replay Club",the-replay-club,"Boynton Beach",FL,0.0,0,https://replayclub.com,,(561) 484-7287,https://padelfinder.com/badge/the-replay-club,https://padelfinder.com/courts/the-replay-club,unverified
